text,label
"Người phụ nữ dựng trại giữa đồng cứu cả trăm con chó, mèo . Nhiều cư dân mạng chia sẻ và thả tim cho câu chuyện chị Lê Nguyễn Sương Mai Vĩnh Long góp nhặt hơn 170 conchó, mèo bệnh tật, bị bỏ rơi khắp các tỉnh miền Tây về cưu mang nhiều năm qua.",0
"Cụ bà hiến mái tóc quý cho bệnh nhân ung thư. Mới đây, câu chuyện một cụ bà hiến bộ tóc đã đi cùng mình suốt 93 năm cuộc đời cho bệnh nhân ung thư được cộng đồng mạng chia sẻ ào ạt. Nhiều người nói rằng cụ bà vừa đẹp lão vừa có tâm đẹp nhất trần đời.",0
"Đậm đà tré Bình Định. Anh bạn đón tôi ở ngay trung tâm TP.Quy Nhơn khi hoàng hôn chưa kịp buông xuống phố biển. Trong ánh đèn vàng, tôi thấy những chiếc tré đặc sản Bình Định treo lủng lẳng ở các tiệm ven đường.",0
"Theo chân U.23 Việt Nam tại U.23 Châu Á: Người Việt ở Uzbekistan sục sôi cùng bóng đá. Số là gia đình tôi đang ở Tashkent, Uzbekistan theo một dự án cứu trợ. Tôi chỉ biết việc U.23 Việt Nam đến Uzbekistan thi đấu khi tình cờ bắt gặp chiếc xe buýt dán cờ đỏ sao vàng cùng dòng chữ Việt Nam - AFC 2022 Uzbekistan trên thân xe. Biết ở đây không có nhiều người Việt, tôi lập tức quyết định phải đi xem trận bóng vì niềm tự hào dân tộc.",0
"Thưởng thức ẩm thực trên tàu tại quán Cầu Nổi - Tây Ninh . Thưởng thức ẩm thực trên tàu được xem là mô hình mới lạ, độc đáo và vô cùng ấn tượng tại quán ăn Cầu Nổi, tọa lạc tại Cầu Nổi, xã Thanh Điền huyện Châu Thành tỉnh Tây Ninh.",0
"Tử vi hàng ngày - Xem tử vi vui 12 con giáp ngày 12.4.2022. Xem tử vi hàng ngày năm 2022, tử vi vui 12 con giáp - tuổi Tí, Sửu, Dần, Mão, Thìn, Tị, Ngọ, Mùi, Thân, Dậu, Tuất và Hợi.",0
"Lễ 30.4 - 1.5: Sân bay Tân Sơn Nhất đông nghẹt người về quê, đi du lịch. Sáng nay 29.4, hàng dài người xếp hàng ở sân bay Tân Sơn Nhất Q.Tân Bình, TP.HCMlàm thủ tục về quê, du lịch dịp nghỉ lễ 30.4 - 1.5. Nhiều người cho biết đã về sớm hơnkỳ nghỉ lễ 1 ngày,song vẫn thấy sân bay đông đúc hơn so với tưởng tượng.",0
"Ông chủ tiệm đồ điện nước và tấm bảng giảm giá ở TP.HCM giữa thời xăng tăng. Mạng xã hội thả tim không ngớt dòng chữ giảm đồ điện nước tại một cửa hàng trong thời bão giá khi giá xăng cứ tăng. Nhiều người cảm thấy ấm lòng vì chủ quán thấu hiểu, chia sẻ khó khăn với khách hàng.",0
"Phản ứng bất ngờ của chị chủ miền Tây sau khi giúp người mua đĩa cơm 10.000 đồng. Mới đây, chuyện người đàn ông ghé quán cơm ở miền Tây xin mua đĩa cơm 10.000 đồng và hành động dễ thương, hào hiệp của chị chủ khiến nhiều người xúc động. Sau đó, có thông tin người đàn ông này lừa đảo, lợi dụng lòng tốt của người khác, phản ứng của chị chủ càng khiến nhiều người bất ngờ hơn.",0
"Mưa tim cho các chiến sĩ chạy đua bà hỏa, cứu thiếu niên kẹt ở tầng 20 . Mới đây, đoạn video, hình ảnh về lực lượng phòng cháy chữa cháy và cứu hộ cứu nạn công an hai quận Hoàng Mai và Hai Bà Trưng Hà Nội phối hợp nhuần nhuyễn dập tắt đám cháy tại căn hộ chung cư, cứu sống nam sinh 16 tuổi khiến cộng đồng mạng càng tin yêu, thấu hiểu sự vất vả, gian khó của các anh.",0
